#,ChatRm,Date,ID,Time,Comment
115,34 CAV,14-Mar-14,anIstg7_g9,8:48:00,(en) 14 Mar 11
116,34 CAV,14-Mar-14,anlst..g7_g9,8:48:00,(en) 14 Mar 11
435,34 CAV,14-Mar-14,7_4i_34_a_cdr,9:42:00,(en) it says 34 cdr is talking in bde room
439,34 CAV,14-Mar-14,7 4i34_a_cdr,9:43:00,{en) bandit 6 came in pretty quiet in bde room
440,34 CAV,14-Mar-14,7_4i_34_s3,9:43:00,(en) roger
1217,34 CAV,14-Mar-14,7 4i 34_s2,12:40:00,(en} are we atlking this T72 spotted by B Co 2-44 IVO 12SWG 61768 89877?
1228,34 CAV,14-Mar-14,7 4i_34_s3,12:41:00,(en) not tracking this one
1248,34 CAV,14-Mar-14,7_4i_34_s2,12:45:00,"(en) 2-44 taking small arms fire in and around Airfield West, and from OBJ 5"
1256,34 CAV,14-Mar-14,7_4i_34_s2,12:46:00,(en) WPNs CO 2-44 engaging tech vechicle IVO 12SWG 61794 90137 and 7 dismounts
1290,34 CAV,14-Mar-14,7 _ 4i _ 34 _ c _cdr,12:51:00,(en) CTRP 100%
1291,34 CAV,14-Mar-14,7_4i_34_s3,12:51:00,(en) roger c trp
1339,34 CAV,14-Mar-14,7 4i_34_52,12:58:00,"(en) RED Tank in wood line of airfield 37 51'49.8""N 110 18'49.2""W"
1350,34 CAV,14-Mar-14,7_41_34_52,12:59:00,(en) the grid for the red tank is 12SWG6037090929
1399,34 CAV,14-Mar-14,7_4i_34_s2,13:08:00,(en) the AC 130 at 60294 88717
1400,34 CAV,14-Mar-14,7_4i_34_s3,13:08:00,(en) 125WG 60673 88812 3xSA-18 in town near T-72s engaged by AC-130
1409,34 CAV,14-Mar-14,74i_34s2,13:10:00,(en) the two T 72 are being engaged at 64000
1422,34 CAV,14-Mar-14,7_41_34_s2,13:12:00,(en) SA-18s make it into the effort?
1446,34 CAV,14-Mar-14,7_4i_34_s2,13:17:00,"(en) S3: code those reports green if the unit is still alive, or red if you've neutralized it"
1455,34 CAV,14-Mar-14,7_41_34]tac,13:19:00,(en) T-72 destroyed by Spooky 93 12S WG 611 893
1456,34 CAV,14-Mar-14,7_41_34 jtac,13:19:00,(en) T-72 destroyed by Spooky 93 125 WG 607 870
1457,34 CAV,14-Mar-14,7_ 4i _ 34 _ b _cdr,13:19:00,(en) I thought green meant civilian or neutral?
1469,34 CAV,14-Mar-14,7_41_34Itac,13:20:00,(en) SA-18 destroyed by Spooky 93 125 WG 60673 88812
1478,34 CAV,14-Mar-14,7_4i_34_s2,13:21:00,(en) the color was directed by BDE
1485,34 CAV,14-Mar-14,7_4i_34]tac,13:22:00,(en) No Joy on SA-18 at 125 WG 60682 88808 from Spooky 93
1486,34 CAV,14-Mar-14,7_41_34]tac,13:22:00,(en) Spooky 93 engaging hostile troops 12S WG 600 883
1505,34 CAV,14-Mar-14,7_4134_52,13:25:00,"(en) from 2meb_s2: Kill on all (3) T-72's: 12SWG 63066 77401, 63512 76844 AND 64850 78249"
1506,34 CAV,14-Mar-14,7_41_34jtac,13:25:00,(en) Spooky 93 killed hostiles 125 WG 605 888
1512,34 CAV,14-Mar-14,7 41_34]tac,13:26:00,(en) Spooky 94 engaging 12S WG 607 870
1531,34 CAV,14-Mar-14,7_4i_34_52,13:29:00,{en) anyone knows what DHY-307 is?
