#,ChatRm,Date,ID,Time,Comment
147,Jsoft coord,14-Mar,anlst_g7_g9,8:54,(en) 14 Mar II
175,Jsoft coord,14-Mar,Icc_7_sfle_cdr,9:01,(en) Game on
182,Jsoft coord,14-Mar,Icc_7_sfle_cdr,9:03,(en) (en) FYI - LRS PLIs not apperaing in CPOF. SOF PLIs are - but not LRS. LRS x 2 are just SE and W of airfield.
200,Jsoft coord,14-Mar,Icc_7_socce_cdr,9:07,"(en) CFF: JSOTF #1/DET 14,TACP09, 12SWG 502 728/artillery in open, oriented west"
204,Jsoft coord,14-Mar,Icc_7_sfle_cdr,9:08,"(en) JSOTF - per Friday, you are submitting CFF into JAGIC_CAS_INT. If not, I can."
212,Jsoft coord,14-Mar,Icc_7_sfle_cdr,9:09,(en) Thnks
221,Jsoft coord,14-Mar,Icc_7_socce_cdr,9:10,(en) rgr
235,Jsoft coord,14-Mar,Icc_7_sfle_cdr,9:12,(en) Priority SR to airfield and vic Obj Tucker. Execute Infils.
239,Jsoft coord,14-Mar,7 4i_jsotf_j3,9:13,(en) rgr
244,Jsoft coord,14-Mar,Icc_7_socce_cdr,9:14,(en) rgr
249,Jsoft coord,14-Mar,Icc_7_sfle_cdr,9:16,"(en) Also - 7 Div doing first conditions chekc, any reports form teams near Airfield?"
274,Jsoft coord,14-Mar,7_4i_ jsotf_j3,9:18,"(en) Vic, can you you send me the grids you have for the 4 x ODAs and 1 SEAL pet that are going to be inputed"
285,Jsoft coord,14-Mar,Icc 7 jagic_sad,9:19,"(en) Do we have a list of SOF/NFAs you want established, or has that already been coordinated?"
286,Jsoft coord,14-Mar,7_4i]sotf_j3,9:19,(en) Negative at this time 
287,Jsoft coord,14-Mar,Icc_7_socce_cdr,9:19,"(en) not yet, i have the sitreps ready for those"
288,Jsoft coord,14-Mar,Icc_7_sfle_cdr,9:19,(en) SOF NFAs are in for Teams on ground. Once Infils occur we will submitt grids for new NFAs
295,Jsoft coord,14-Mar,Icc_7_sfle_cdr,9:20,"(en) (en) tacp09 has buzzard06, use to support kb8405 JSOTF #2/0DA 9130"
296,Jsoft coord,14-Mar,Icc_7_lagic_sad,9:20,"(en) c, ty"
308,Jsoft coord,14-Mar,Icc_7jagic_asocmgr,9:22,"(en) tacp09 has buzzard06, use to support kb8405 JSOTF #2/ODA 9130"
400,Jsoft coord,14-Mar,Icc_7_sfle_cdr,9:35,(en) Priorty reporting/taargeting to (en) Current threat to air ops IVO Diaz airfield: crotale at 12SWG 64728 90121; crotale at 12SWG 62191 89175; crotale at 12SWG 60422 89562; crotale at 12SWG 53847 90497; and multiple SA-18 reports throughout the area
404,Jsoft coord,14-Mar,Icc_7_g3_chops,9:36,(en) Bayonet Chops monitoring this net now.
405,Jsoft coord,14-Mar,Icc_7_sfle_cdr,9:36,(en) Do not pass last to JTF/HICON plse - they have this info
406,Jsoft coord,14-Mar,Icc_7_sfle_cdr,9:36,(en) Roger - Thanks CHOPS
407,Jsoft coord,14-Mar,Icc_7_g3_chops,9:36,(en) Using it for SA only
408,Jsoft coord,14-Mar,Icc 7_sfle_cdr,9:36,(en) RGR
418,Jsoft coord,14-Mar,7 4i_jsotf_j3,9:38,"(en) Vic, are you injecting the 5 elements into ONESAF yet?"
437,Jsoft coord,14-Mar,7 4i_jsotf_j3,9:42,"(en) Vic, can you confirm these grids for the 5 elements: ODA9122 / 125WG 55615 96558"
443,Jsoft coord,14-Mar,7_4ijsotfj3,9:43,(en) ODA9125 / 12SWG 71501 82344
444,Jsoft coord,14-Mar,Icc_7_socce_cdr,9:43,"(en) they are already in, programmed for H-2,"
445,Jsoft coord,14-Mar,lcc_l_socce_cdr,9:43,(en) stand by for grids on all 5
450,Jsoft coord,14-Mar,7_4i_jsotf_j3,9:44,(en) waiting to confirm grids so I can send up the reports to HICON
462,Jsoft coord,14-Mar,Icc_7_socce_cdr,9:46,"(en) ODA 9125,TACP07, 12SWG 70188 82688 NSWD 11,TACP13, 12SWG 33159 54336 ODA 9122,TACP05, 12SWG 55078 94758 ODA 9131,TACP08, 12SWG 54380 92004 ODA 9132,TACP10, 12SWG 70928 85498"
467,Jsoft coord,14-Mar,7 4i_jsotf __j3,9:47,(en) rgr
472,Jsoft coord,14-Mar,Icc_7_sfle_cdr,9:49,(en) Vic - are theose the exiting ODAs (already have NFAs) or did you inlcude the infils. I t is only the Inflil Grids we should be sending.
478,Jsoft coord,14-Mar,Icci_sfle_cdr,9:50,"(en) Correct ion ""existing ODAs"" not exiting"
490,Jsoft coord,14-Mar,Icc_7_sfle_cdr,9:53,"(en) lcc_7_socce_cdr 09:51 (en) CFF: JSOTF #4/0DA 9136,TACP12, 5 targets: appear
to be recce and C2 12SWG 50580 82930/2 x enemy veh, sqd 12SWG 53640 83740/ 2 x enemy veh, sqd 12SWG 53640 84090/ 2 x enemy veh, sqd 125WG 54080 84580/ 2 x enemy veh, sqd 12SWG 54440 85210/ 2 x enemy veh, sqd"
535,Jsoft coord,14-Mar,Icc_7_socce_cdr,10:01,"(en) SITREP: JSOTF #1/ODA 9125,TACP07, 12SWG 70188 82688/infil successful, in position SITREP: JSOTF #2/NSWD 11,TACP13, 12SWG 33159 54336/infil successful, in position S1TREP:JSOTF #3/ODA 9122,TACP05, 12SWG 55078 94758/infil successful, in position S1TREP: JSOTF #4/ODA 9131,TACP08, 125WG 54380 92004/infil successful, in position SITREP: JSOTF #5/ODA 9132,TACP10, 12SWG 70928 85498/infil successful, in position"
536,Jsoft coord,14-Mar,Icc_7_socce_cdr,10:01,(en) need NFA's for all
537,Jsoft coord,14-Mar,Icc_7_sfle_cdr,10:01,"(en) cc_7_socce_cdr 09:58 (en) CFF: JSOTF #5/ODA 9121,TACP06, 12SWG 60351 91462/enemy UAS C2 vehicles, MI-8 (HIP) helo,12 troops in open"
580,Jsoft coord,14-Mar,Icc_7_sfle_cdr,10:09,(en) MEB supprting CFF #4 with F-18s
583,Jsoft coord,14-Mar,7_41 jsotf_j3,10:10,"(en) CFF: JSOTF #6/ODA 9132,TACP10, 5 targets: 12SWG 69383 85391/UAV platoon, -20 pax and 6 x UAVs 12SWG 67719 81996/vehicle convoy moving northeast, - 4 vehicles 12SWG 69300 84900 / 5 enemy vehicles in convoy 12SWG 68500 84500/ 5 enemy vehicles in convoy 12SWG 69800 85850 / 2 x enemy C2 vehicles in woodline"
599,Jsoft coord,14-Mar,Icc_7 jagic_asocmgr,10:16,(en) nailll iso jsotf#6
