#,ChatRm,Date,ID,Time,Comment
101,4 IBCT,14-Mar,anlst_ops,8:18,(en) March 14
117,4 IBCT,14-Mar,anlst.g7_g9,8:48,(en) 14 Mar 11
208,4 IBCT,14-Mar,7_7f fi_bn_cdr,9:09,(en) Can y'all hear anything in the Division Room? All I've heard is Lancer 06 indicating that comms from Division are weak.
242,4 IBCT,14-Mar,7 _ 4i 244 s3,9:14,(en) roger
280,4 IBCT,14-Mar,2meb_cdr,9:19,(en) Preassault fires attacking tgts IVO BLS for TF Warlord and Hammer and TF Tornado
592,4 IBCT,14-Mar,7_4i_cdr,10:15,(en) Bandit 6/3 - You should be receiving some additional link information from ODA 9121 shortly. They are located in OBJ 5. Conduct LJU and battle hand off IOT establish overwatch and LR observation
594,4 IBCT,14-Mar,7_4i_34_s3,10:16,(en) roger
595,4 IBCT,14-Mar,7_4i_cdr,10:16,(en) thx
618,4 IBCT,14-Mar,7_4i_socce_cdr,10:22,"(en) Link up Plan 3/4 CAV and ODA 9121 1. ODA FREQ 32.52. ODA Call Sign SNAKE 21 3.Far Recognition Signal - Small Trees across road 4.Near Signal - HN soldier with reversed NY ball cap 5. Fire Coordination - NFA within 300 M of ODA location 12 SWG 59602 90831 6. Command - Supported and Supporting 7. Actions Following Linkup - Debrief, Exchange Intel, Coordinate Future TGTs and Operations."
625,4 IBCT,14-Mar,7 4i_34_s3,10:23,(en) 3/4 Roger
769,4 IBCT,14-Mar,2meb_s3,11:08,(en) All LCAC's are F/W inbound to the beaches.
892,4 IBCT,14-Mar,7_4i_34_s3,11:40,(en) H hour still at 1300 EST?
904,4 IBCT,14-Mar,7_4i_amd,11:41,(en) rgr for heavy drops
1031,4 IBCT,14-Mar,2meb_cdr,11:59,(en) TF Warlord (Golf Co) is feet dry (Air insert)
1032,4 IBCT,14-Mar,2meb_cdr,11:59,(en) TF Warlord IVO JTF Obj-2 Feet Dry
1069,4 IBCT,14-Mar,7_41_344_s3,12:07,(en) radio check
1109,4 IBCT,14-Mar,7_4i_amd,12:16,(en) rgr
1113,4 IBCT,14-Mar,2meb_cdr,12:18,"(en) IF Warlord has landed with (1) h&c) co IVO JTF OBJ 2 and (1) AAV co, TF Tornado landed with (2) companies IVOLF OBJ D &E, IF Hammer landed helo co and (1) AAV co . IF Tornado moving towards LE objectives. C130, AH1, UH1 and Scan Eagle UAV shot down in MEB AO. MEB GCE combat strength 100%."
1140,4 IBCT,14-Mar,2meb_cdr,12:30,(en) TF Warlord lead trace in JTF Obj-2 from the south
1190,4 IBCT,14-Mar,7_7f fi_bn_cdr,12:37,"(en) 4-4 on the ground IVO hilltop west of PAA Fires (62224 89020), with 6 x 119A3 and 2 x M777."
1191,4 IBCT,14-Mar,7 4i _ fso,12:37,(en) IPRTF?
1197,4 IBCT,14-Mar,7_7f fi_bn_cdr,12:38,"(en) First round down range time now, M119"
1239,4 IBCT,14-Mar,7.__4i_ jsott j3,12:43,"(en) CFF REQUESTED: This is resend of #6 all of these targets are still active CFF: JSOTF #18/ODA 9132,TACP10, 5 targets: 125WG 69383 85391/UAV platoon, -20 pax and 6 x UAVs 12SWG 67719 81996/vehicle convoy moving northeast, - 4 vehicles 12SWG 69300 84900 / 5 enemy vehicles in convoy 12SWG 68500 84500/ 5 enemy vehicles in convoy 12SWG 69800 85850 / 2 x enemy C2 vehicles in woodline"
1575,4 IBCT,14-Mar,7_4ijsotfj3,13:33,"(en) CFF REQUESTED: JSOTF #19/0DA 9132,TACP10 /12SWG 56619 84700/UAV platoon-30 pax, 4 x trucks, 7 x UAV's"
1582,4 IBCT,14-Mar,7 4i_amd_alt,13:34,"(en) 2 x AVG PLT5 active (10 x AVG5, 2 x Sentinels)"
1685,4 IBCT,14-Mar,74i_jsotf_j3 _,13:48,"(en) CFF REQUESTED: JSOTF #21/ODA 9116,TACP01 /2 targets: 12SWG 6280 9610-2 x enemy trucks67920 88306/1 x mortar, 1 x vehicle, squad 12SWG 624 967.1 MI-24 flying in vicinity, appears to have landed"
1689,4 IBCT,14-Mar,7_4i_jsotf_j3,13:49,"(en) SFLE, I think your mailbox is full. System undeliverable due to it being full. I was sending you updated H+2 slides."
1887,4 IBCT,15-Mar,2meb_s3,8:14,(en) comm check
1888,4 IBCT,15-Mar,sim_ctrl tech_ctr12,8:14,(en) copy
1893,4 IBCT,15-Mar,7_7a_fso,8:15,(en) comm check
1900,4 IBCT,15-Mar,Icc_7_g6,8:16,(en) copy
1901,4 IBCT,15-Mar,7 4i_cdr,8:16,(en) 15 MAR 11
2112,4 IBCT,15-Mar,2meb_cdr,8:49,"(en) CJTF Obj-2 seized, turning north and clearing the Port of Diaz 0947L"
2196,4 IBCT,15-Mar,2meb_cdr,9:08,"(en) TF Hammer established blocking positions IVO Stones Bay & Rolla. TF Tornado last company inserted at IF OBJ C & currently establishing blocking positions w/engagement areas over MSR Bronco; Engaging T-72s IVO MSR Bronco w/CAS (including 852 strikes controlled via JFACC). TF Hammer & Warlord blue on blue incident (25 AAVs from TF Warlord destroyed) & yesterday's casualties are being adjudicated as sim issues, am still waiting on the results."
2296,4 IBCT,15-Mar,7_4i_amd,9:29,(en) 235 BSB the BEB needs re-supply of 23 Pax located 12SWG 621 894
2307,4 IBCT,15-Mar,9_525_235_cdr,9:32,(en) 235th is not on ground yet
2308,4 IBCT,15-Mar,7 _ 4i _ amd,9:32,(en) rgr
2315,4 IBCT,15-Mar,7 ls_cdr,9:33,(en) Recommend you crosslevel within battaion assets until 235th is on the ground and prepared to process the request for personnel replacements.
2316,4 IBCT,15-Mar,7_1s cdr,9:33,(en) above message for BEB
2320,4 IBCT,15-Mar,7_ls_cdr,9:34,(en) J4 concurs
2327,4 IBCT,15-Mar,7_1s_cdr,9:35,(en) J1 concurs
2353,4 IBCT,15-Mar,7_1s_cdr,9:41,"(en) Div G4, contact BEB for specific MOS data and process through channels."
4899,4 IBCT,15-Mar,7_4i_amd_alt,10:02,(en) more TBMs inbound
2569,4 IBCT,15-Mar,7_41_34_fso,10:11,(en) engaged a 60mm MTR 59332 90987 and BM21 59442 90995
2590,4 IBCT,15-Mar,7_41_34_fso,10:15,(en) engaging MT-12 at 59176 64415
2844,4 IBCT,15-Mar,7_4i_amd_alt,10:51,(en) Lost one sentinel and one avenger
2853,4 IBCT,15-Mar,7_4i_amd,10:52,(en) amd_alt what is grid for losses
2868,4 IBCT,15-Mar,7_4i_amd_alt,10:54,(en) Sent: 12SWG 60577 89761 AVG 2: 12SWG 62278 90506 no word on what destroyed them
2980,4 IBCT,15-Mar,Icc_7_g4,11:07,"following to the DIV G1 for replacements: 68H02 X 3 ea 66W40 X 4 ea 21B30 X 8 ea 21840 X 2 ea 21H30 X 12 ea 21H10 X 15 ea 90A03 X 2 ea Expect replacements within 14 days from the Ft Benning CRC site. Of course since there was initially a request for them as a resupply action we could ""stack them like cordwood"" with a resupply convoy..."
3157,4 IBCT,15-Mar,7_41_34_fso,11:32,(en) I need a CFZ established at 12SWG 61221 89917 with 300m radius
3160,4 IBCT,15-Mar,7_4i_fso,11:33,(en) stand by
3183,4 IBCT,15-Mar,7_4i_34_b_cdr,11:36,"(en) 151300MAR11 / Received ENY IDF and dismt OF / 12SWG5899390154 / Friendly Casualty - 15 KIAs, 4 Trucks NMCs / 11 Pax and 2 Trucks FMC / Black on ammo and Green on Fuel"
3195,4 IBCT,15-Mar,7 41 fso,11:39,(en) CFZ is active
3216,4 IBCT,15-Mar,7_41_34 fso,11:42,(en) roger
3222,4 IBCT,15-Mar,7_4i_amd,11:43,(en) 235 bsb you on the ground yet
3237,4 IBCT,15-Mar,9_525_235_s3,11:45,(en) We are not scheduled to be on ground till tomorrow.
3246,4 IBCT,15-Mar,7_4i_amd,11:46,(en) 7_404b_cdr try getting a resupply through your ESC
3248,4 IBCT,15-Mar,7_4i_34_s3,11:46,(en) roger
