#,ChatRm,Date,ID,Time,Comment
146,JFMCC,14-Mar,anlst_g7_g9,8:54,(en) 14 Mar 11
167,JFMCC,14-Mar,2meb_s3,8:59,"(en) SITREP: 2D MEB on ship, landing plan remains the same as last week. Since there isn't a MEB reserve, TF commanders will employ an internal reserve, TF Hammer & Warlord are using tanks and TF Tornado is using elements of Charlie Company. Pre-landing ISR requested via MEB G2 to focus on landing beaches (ASCM and heavy guns) and LZs (ADA threats). MEB is prepared to provide tank forces if available to 7ID to support their air assault. MEB combat strength 100%."
284,JFMCC,14-Mar,2med_cdr,9:19,(en) Preassault fires attacking tgts IVO BLS for TF Warlord and Hammer and TF Tornado
382,JFMCC,14-Mar,macc_depcdr,9:32,(en) three ASCM engaged on coast in fleet defense-
612,JFMCC,14-Mar,2meb_s3,10:20,"(en) SITREP: NSFS & CAS conducting pre-assault fires throughout MEB AO, targets are primarily troops in open, tactical vehicles, IDF and one missile launcher IVO NAI J4. Additional ISR requested via MEB G2 to focus on NAI 610 and movement corridors in MEB southern AO, PIR are armor, meth & platoon sized or greater forces. MEB combat strength 100%."
657,JFMCC,14-Mar,2meb s3,10:33,(en) Numerous Harpy UAS & anti-armor assets IVO TF Tornado's AO. NSFS and CAS being prosecuted against these targets with tittle effect. These assets need to be neutralized.
749,JFMCC,14-Mar,2meb_navy_Ino,11:01,(en) Battle Master has reported that 1 SAF is not stable and has directed the puckster to stand by on pushing the button to launch the landing craft.
767,JFMCC,14-Mar,2meb_navy_Ino,11:07,(en) Battle Master has released the pucksters to launch the landing craft.
768,JFMCC,14-Mar,macc j3,11:07,(en) rgr
770,JFMCC,14-Mar,2meb_navy jno,11:08,(en) All LCAC's are F/W inbound to the beaches.
789,JFMCC,14-Mar,2meh_s3,11:13,(en) SITREP: All LCAC's are F/W inbound to the beaches. NSFS & CAS continuing pre-assault fires throughout MEB AO. Numerous Harpy UAS & anti-armor assets IVO TF Tornado's AO. NSFS and CAS being prosecuted against these targets with little effect. These assets need to be neutralized. We also have some issue with JTF cutting airspace coordination areas through our AO (we understand that have from surface to 14K MSL). MEB combat strength 100%.
819,JFMCC,14-Mar,2meb_s3,11:25,"(en) If HLZ and BLS threats aren't neutralized prior to landing, TF commanders will send screening & suppression fire support missions against the threats."
874,JFMCC,14-Mar,macc_depcdr,11:35,(en) doughnut island defenses have been neutralized-naval gunfire. ASCM prosecuted-no known additional ASCM in the landing area.
936,JFMCC,14-Mar,2meb_navy _in°,11:45,(en) 1st AAV F/D at Objective Diaz
1021,JFMCC,14-Mar,2meb_s3,11:57,(en) TF Warlord (Golf Co) is feet dry.
1036,JFMCC,14-Mar,2meb_s3,11:59,(en) Golf Co is the air insert IVO JTF OBJ 2.
1044,JFMCC,14-Mar,2meb_s3,12:00,"(en) correction, they are a AAV company"
1073,JFMCC,14-Mar,2meb_s3,12:07,"(en) TF Tornado, A Co AND B Co ARE IN THE ZONES"
1111,JFMCC,14-Mar,2meb_s3,12:16,"(en) SITREP: IF Warlord has landed with (1) helo co IVO JTF OBJ 2 and (1) AAV co, IF Tornado landed with (2) companies IVOLF OW D &E, TF Hammer landed helo co and (1) AAV co . TF Tornado moving towards LF objectives. C130, AH1, UH1 and Scan Eagle UAV shot down in MEB AO. MEB GCE combat strength 100%."
1144,JFMCC,14-Mar,2meb_cdr,12:30,(en) TF Warlord lead trace in JTF Obj-2 from the south
1224,JFMCC,14-Mar,2meb_s3,12:40,(en) TF Hammer has 10 AAV7 mobility kills
1234,JFMCC,14-Mar,2meb_s3,12:42,"(en) (en) all by 12.7mm, 6 Mobility kills from 2600-2700 meters away, 4 others from about 1000m away."
1424,JFMCC,14-Mar,2meb_s3,13:12,"(en) SITREP: TF Hammer still coming ashore with last AAV company, TF Warlord ashore with all three companies, moving to JTF OBJ 2, TF Tornado landed with (2) companies IVO LF Objs, third company inbound. TF Hammer has 10 AAV P7 mobility kills, all by 12.7mm. 6 Mobility kills from 2600.2700 meters away, 4 others from about 1000m away. Simulator is acting unresponsive."
1776,JFMCC,14-Mar,2meb_s3,14:09,"(en) SITREP: -FP Tornado still awaiting help company to land on LF 013J C, TF Hammer ashore w/LAR inbound, TF Warlord ashore with all three companies, still moving to JTF OBJ 2. 2D MEB CASREP 141 KIA / 22 WIA. 11 AAV mobility kills & 7 LAR mobility kills."
