#,ChatRm,Date,ID,Time,Comment
150,Sust,14-Mar,anlst_sust,8:54,(en) 14 MAR 2011
156,Sust,14-Mar,anlst_g7_g9,8:55,(en) 14 Mar n
845,Sust,14-Mar,Icc_7_g4,11:30,(en) I need a blow dryer... It is taking this paint a long time to dry
1317,Sust,14-Mar,bsmc_cdr,12:54,(en) Was just informed of C-17 went down. Survivors undetermined? Casualties undetermined? 1-44 2.44 and 3-44 BAS should be on alert to ground evac to BAS. BSMC is not due to arrive until H+8. Evac to BAS and call in CASEVAC for Urgent and Urgent surgical only.
1325,Sust,14-Mar,Icc_7g4_surg,12:55,(en) No grid yet
1326,Sust,14-Mar,Icc_7g4_surg,12:55,(en) NW Diaz
1327,Sust,14-Mar,bsmc_cdr,12:55,(en) roger
1426,Sust,14-Mar,Icc_7_g4surg,13:12,(en) Line1: 12SWG5710893034 Line2: Not Available Line3: Not Available Line4:Not Available Line5:Not Available Line6: E Line7:D Line8:A Line9:A
1717,Sust,14-Mar,Icc_7_g4_surg,13:53,(en) Cancel CASEVAC no WIA
1774,Sust,14-Mar,2meb_s4,14:07,(en) Hablamos maniana
1891,Sust,15-Mar,7_1s_cdr,8:14,(en) commo check
1899,Sust,15-Mar,Icc_7_g6,8:15,(en) copy
1909,Sust,15-Mar,7 _ ls _ cdr,8:16,(en) is anyone else having difficulty with transverse and cpof?
1910,Sust,15-Mar,7 _1s cdr,8:16,(en) the green star disappeared from my workstation again....
1913,Sust,15-Mar,Icc_7_g6,8:17,"(en) tranverse went down for a few minutes, they got it back up. CPOF, not sure."
1917,Sust,15-Mar,7_1s_cdr,8:19,"(en) transverse is working a little bit better..,the chat rooms stay locked to their windows now ... before they didn't want to be associated with their window... painful stuff, let me tell you."
1994,Sust,15-Mar,anlst_med,8:34,(en) SIM is down
2013,Sust,15-Mar,anlst_med,8:36,(en) RTI is down
2043,Sust,15-Mar,anlst_med,8:40,"(en) hearing mixed new about RTI, it may be working, not sure"
2142,Sust,15-Mar,Icc_7_g4_surg,8:55,(en) ALCON...no aviation assets will be available for any Sustainment support to include CASEVAC
2147,Sust,15-Mar,7_1s_cdr,8:56,(en) rgr
2153,Sust,15-Mar,bsmc_cdr,8:57,(en) Army AC right NAVY/USMC have AC right?
2158,Sust,15-Mar,Icc_7_g4_surg,8:58,(en) Only Army AC broke ... should have some support from NAVY/USMC
2160,Sust,15-Mar,bsmc_cdr,8:59,(en) thanks
2164,Sust,15-Mar,2meb_s4,9:00,(en) let us know what you need and we will see what we can do to help
2889,Sust,15-Mar,7_1s_cdr,10:55,(en) Personnel Replacement Register has been added to the 1SUST page in TACWEB. Feel free to use format for your unit requests.
2970,Sust,15-Mar,bsmc_cdr,11:05,"(en) 7_7a_lno_mc 11:02 (en) PEGASUS 55: BELIEVE UI-1-1 WAS SHOT DOWN BY RPG EN ROUTE TO 15-HAMMER-320, ON STATION @ H-320 COBRA KILLED 152MM TRANSLOADER AND MULTIPLE SMALL ARMS AND RPG'S bsmc_cdr 11:03 (en) Is Personnel Recovery needed? What is the status of the crew"
2979,Sust,15-Mar,bsmc_cdr,11:06,(en) awaiting confirmation
2983,Sust,15-Mar,bsmc_cdr,11:07,(en) UH-1 DOWN @ 4957072030
2990,Sust,15-Mar,Icc_7_g4,11:08,"(en) 4 IBCT 5-1 has submitted the following to the DIV GI for replacements: 68H02 X 3 ea 66W40 X 4 ea 21B30 X 8 ea 21B40 X 2 ea 211-130 X 12 ea 21H10 X 15 ea 90A03 X 2 ea Expect replacements within 14 days from the Ft Benning CRC site. Of course since there was initially a request for them as a resupply action we could ""stack them like cordwood"" with a resupply convoy..."
3586,Sust,15-Mar,7_1s_cdr,13:09,"(en) 235 Navy will airdrop 12,000 rds 5.56 for JSOTF/SOCCE on next helo at 12 SWG 62035 90528 which is same location for MRE pickup."
3587,Sust,15-Mar,9 _ 525 _ 235 _ s3,13:10,"(en) roger, we are tracking"
3928,Sust,16-Mar,anlst_g7_g9,7:05,(en) 16 Mar 11
3944,Sust,16-Mar,7_1s_cdr,7:16,(en) comm check
3945,Sust,16-Mar,9 _ 525 _ 235 _ cdr,7:17,(en) rgr
3947,Sust,16-Mar,7 _ 1s_ cdr,7:19,(en) how are things going this morning?
3948,Sust,16-Mar,9_525_235_cdr,7:20,"(en) Good, getting ready for the Div CUB"
3949,Sust,16-Mar,7_1s_cdr,7:20,(en) i see you in the room
3950,Sust,16-Mar,9_525_235_cdr,7:20,(en) All products required to be turned in are complete
3951,Sust,16-Mar,7 _ 1s _ cdr,7:20,(en) great!
3952,Sust,16-Mar,7_ 1s_ cdr,7:21,(en) Is everything ready for Friday?
3954,Sust,16-Mar,7_1s_cdr,7:22,"(en) H2 is headed there, right (as opposed to here)?"
3955,Sust,16-Mar,9525 235_cdr,7:22,"(en) He will be at Benning, I believe tonight."
3956,Sust,16-Mar,7_1s_cdr,7:22,(en) ok
3960,Sust,16-Mar,7_1s_cdr,7:23,(en) I'm still debating with myself about being a fly on the wall 
4000,Sust,16-Mar,anIst_sust,7:37,(en) 16 MAR 2011
4190,Sust,16-Mar,Icc_7g4,8:36,(en) I'll be a passenger headed home
4929,Sust,16-Mar,Icc_7g4_surg,10:05,"{en) CASEVAC: 4) L1:12SWG6753093356, L3:A, L4:A, L51+6, 16:P, L7:D, L8:A, L9:A"
5102,Sust,16-Mar,bsmc_cdr,10:21,(en) UPDATE TO MY MEDEVAC ... 9 LINE SENT. 6 WOUNDED 15 NOW 5 URGENT AND 3 KIA. UPDATE AS FOLLOWS
5122,Sust,16-Mar,anlst_med,10:23,(en} assuming you implied CASEVAC
5123,Sust,16-Mar,Icc_7_g4_surg,10:23,(en) BSMC how many medics are on the MEDEVAC
5124,Sust,16-Mar,Icc_7_g4_surg,10:23,(en)
5128,Sust,16-Mar,bsmc_cdr,10:24,(en) not my words copied and pasted
5130,Sust,16-Mar,anlst_med,10:24,(en) ok
5131,Sust,16-Mar,bsmc_cdr,10:24,(en) put me in coach I'm ready to play
5195,Sust,16-Mar,bsmc_cdr,10:31,(en) BSMC/FST Request resupply of Class VIII. Push package 1 along with 100 units of 0+ blood. DTG:161031Marc2011
5201,Sust,16-Mar,7_1s_cdr,10:32,(en) MEDEVAC/CASEVAC Mission start time = 141034Mar
5202,Sust,16-Mar,bsmc_cdr,10:32,"(en) BSB CDR send request through email, Transverse and sustainment ADOBE"
5207,Sust,16-Mar,7 _ 1s _cdr,10:33,(en) 151034Mar
5231,Sust,16-Mar,Icc_7g4_surg,10:38,(en) How about 161034Mar
5232,Sust,16-Mar,7_1s_cdr,10:38,(en) got it.
5239,Sust,16-Mar,"icc7_,g4_surg",10:39,(en)
5240,Sust,16-Mar,7_1s_cdr,10:39,(en)
5274,Sust,16-Mar,bsmc_cdr,10:44,(en) CASEVAC MC time 1043 16 MAR 2011
5275,Sust,16-Mar,bsmc_cdr,10:44,(en) 5 urgent sent to BSMC
5289,Sust,16-Mar,bsmc_cdr,10:47,(en) FST surgery on going
5295,Sust,16-Mar,Icc_7_g4_surg,10:48,(en) BSMC CASEVAC MC or WIP
5296,Sust,16-Mar,anIst_med,10:48,(en) MCstands for what?
